,Target_Variable,Target_Overweight,Target_Included,Items_Per_Scale,Predictions,mse,hit_0_trained,hit_1_trained,hit_0_untrained,hit_1_untrained
867,O6,8,TRUE,1,O6 ~ A4 + C9 + E10 + N2 + O8 + O10 + O9 + O2 + O4 + O1 + O3 + O9,"0,913769577","0,505770536","0,875763747","0,590392124","0,902563232"
868,O6,8,TRUE,1,O6 ~ A7 + C8 + E4 + N3 + O3 + O8 + O5 + O7 + O10 + O4 + O10 + O1,"0,916491402","0,503733876","0,879158181","0,586487863","0,905618740"
869,O6,8,TRUE,1,O6 ~ A1 + C8 + E3 + N9 + O2 + O8 + O4 + O3 + O5 + O1 + O7 + O1,"0,913130053","0,487440597","0,886625933","0,582923103","0,908164997"
870,O6,8,TRUE,1,O6 ~ A3 + C3 + E8 + N2 + O9 + O8 + O1 + O3 + O10 + O2 + O4 + O5,"0,930958974","0,508486083","0,876442634","0,587676116","0,904430487"
871,O6,9,TRUE,1,O6 ~ A10 + C9 + E4 + N4 + O8 + O4 + O3 + O10 + O5 + O2 + O7 + O9 + O1,"0,925785568","0,497623897","0,876442634","0,589203870","0,905618740"
872,O6,9,TRUE,1,O6 ~ A10 + C4 + E3 + N7 + O5 + O8 + O2 + O7 + O10 + O9 + O3 + O4 + O8,"0,906780809","0,498981670","0,883910387","0,587166865","0,907485996"
873,O6,9,TRUE,1,O6 ~ A5 + C2 + E2 + N4 + O5 + O9 + O7 + O8 + O3 + O2 + O1 + O10 + O4,"0,904055979","0,490156144","0,880515954","0,597012392","0,909523001"
874,O6,9,TRUE,1,O6 ~ A1 + C7 + E2 + N4 + O5 + O7 + O1 + O8 + O2 + O4 + O3 + O10 + O9,"0,923422433","0,495587237","0,874405974","0,591410626","0,905279240"
875,O6,9,TRUE,1,O6 ~ A1 + C7 + E9 + N7 + O1 + O8 + O9 + O5 + O7 + O7 + O3 + O2 + O2,"0,914853981","0,509164969","0,883231500","0,586997114","0,907146495"
876,O6,1,FALSE,1,O6 ~ A5 + C5 + E1 + N6,"0,981869817","0,455532926","0,866938221","0,474113054","0,877270412"
877,O6,1,FALSE,1,O6 ~ A6 + C5 + E10 + N10,"1,004195748","0,427698574","0,866259335","0,444576473","0,878119165"
878,O6,1,FALSE,1,O6 ~ A4 + C6 + E4 + N2,"1,000510158","0,427019688","0,864901561","0,451875743","0,878288915"
879,O6,1,FALSE,1,O6 ~ A7 + C10 + E2 + N5,"0,993687154","0,453496266","0,871690428","0,474113054","0,880156170"
880,O6,1,FALSE,1,O6 ~ A3 + C1 + E2 + N6,"0,997058921","0,441955193","0,872369314","0,457307758","0,881514174"
881,O6,1,TRUE,2,O6 ~ A9 + A8 + C5 + C3 + E2 + E10 + N6 + N4 + O2 + O10,"0,925164164","0,490156144","0,877121521","0,555253777","0,899337973"
882,O6,1,TRUE,2,O6 ~ A2 + A7 + C2 + C8 + E1 + E8 + N9 + N10 + O7 + O10,"0,944823264","0,460285132","0,876442634","0,539636734","0,896961467"
883,O6,1,TRUE,2,O6 ~ A8 + A6 + C8 + C10 + E10 + E1 + N6 + N10 + O4 + O1,"0,944442514","0,456211813","0,873048201","0,530300458","0,896791716"
884,O6,1,TRUE,2,O6 ~ A8 + A7 + C5 + C3 + E4 + E7 + N8 + N4 + O3 + O1,"0,918220728","0,499660557","0,881873727","0,566627058","0,905788491"
885,O6,1,TRUE,2,O6 ~ A5 + A3 + C8 + C7 + E9 + E1 + N9 + N2 + O10 + O4,"0,941584971","0,488119484","0,875084861","0,540994738","0,903072483"
886,O6,2,TRUE,2,O6 ~ A9 + A10 + C7 + C5 + E8 + E9 + N3 + N9 + O7 + O5 + O9 + O4,"0,934606842","0,470468432","0,866938221","0,567136310","0,898658971"
887,O6,2,TRUE,2,O6 ~ A3 + A4 + C9 + C7 + E9 + E10 + N1 + N6 + O3 + O8 + O10 + O2,"0,909039707","0,507128310","0,881873727","0,594466135","0,907825497"
888,O6,2,TRUE,2,O6 ~ A6 + A1 + C5 + C8 + E5 + E2 + N5 + N6 + O2 + O4 + O5 + O1,"0,948073899","0,481330618","0,873727088","0,568664064","0,899847225"
889,O6,2,TRUE,2,O6 ~ A10 + A3 + C1 + C4 + E10 + E3 + N10 + N3 + O1 + O5 + O8 + O7,"0,968044930","0,443991853","0,869653768","0,537429978","0,895263962"
890,O6,2,TRUE,2,O6 ~ A2 + A3 + C5 + C1 + E2 + E1 + N3 + N6 + O3 + O8 + O4 + O9,"0,924387564","0,494908350","0,885947047","0,576812086","0,907825497"
891,O6,3,TRUE,2,O6 ~ A2 + A6 + C3 + C8 + E2 + E8 + N6 + N1 + O3 + O1 + O5 + O5 + O2 + O10,"0,904920461","0,503054990","0,879158181","0,595314887","0,906976744"
892,O6,3,TRUE,2,O6 ~ A8 + A2 + C1 + C2 + E7 + E6 + N7 + N1 + O3 + O2 + O9 + O1 + O7 + O4,"0,927763994","0,504412763","0,884589274","0,595314887","0,909183500"
893,O6,3,TRUE,2,O6 ~ A7 + A8 + C8 + C6 + E8 + E4 + N10 + N9 + O2 + O2 + O5 + O9 + O8 + O4,"0,926999663","0,478615071","0,883231500","0,564250552","0,905109489"
894,O6,3,TRUE,2,O6 ~ A1 + A2 + C1 + C2 + E8 + E6 + N6 + N1 + O9 + O2 + O5 + O7 + O4 + O8,"0,932099904","0,500339443","0,871690428","0,583092854","0,899847225"
895,O6,3,TRUE,2,O6 ~ A6 + A1 + C5 + C6 + E3 + E9 + N6 + N9 + O2 + O1 + O10 + O7 + O3 + O5,"0,898110746","0,499660557","0,886625933","0,607197420","0,910032253"
896,O6,4,TRUE,2,O6 ~ A2 + A8 + C9 + C6 + E7 + E2 + N2 + N5 + O3 + O9 + O10 + O1 + O5 + O4 + O2 + O8,"0,917772460","0,504412763","0,879837067","0,615005941","0,910371754"
897,O6,4,TRUE,2,O6 ~ A9 + A10 + C9 + C6 + E6 + E2 + N6 + N8 + O1 + O2 + O9 + O3 + O7 + O4 + O9 + O10,"0,887729180","0,504412763","0,881194840","0,618061450","0,908164997"
898,O6,4,TRUE,2,O6 ~ A2 + A7 + C5 + C3 + E3 + E6 + N10 + N1 + O5 + O8 + O1 + O4 + O9 + O5 + O3 + O10,"0,903103927","0,517990496","0,882552614","0,609573926","0,910202003"
899,O6,4,TRUE,2,O6 ~ A6 + A5 + C8 + C10 + E3 + E8 + N7 + N5 + O1 + O9 + O4 + O5 + O3 + O7 + O2 + O8,"0,896885976","0,512559403","0,879837067","0,616703446","0,911899508"
900,O6,4,TRUE,2,O6 ~ A3 + A6 + C2 + C4 + E7 + E1 + N10 + N9 + O1 + O7 + O2 + O7 + O10 + O9 + O5 + O3,"0,914697657","0,501018330","0,882552614","0,605330165","0,908674249"
901,O6,1,FALSE,2,O6 ~ A3 + A4 + C2 + C10 + E6 + E8 + N6 + N1,"0,977847301","0,471147318","0,866938221","0,502121881","0,885588185"
902,O6,1,FALSE,2,O6 ~ A1 + A3 + C4 + C8 + E2 + E10 + N3 + N10,"0,995962265","0,430414121","0,866938221","0,473943303","0,883720930"
